Open,High,Low,Close*,Volume(T)
3587.87,3632.2,3541.0,3576.01,19.278
3576.68,3657.0,3531.01,3564.31,16.347
3561.5,3620.53,3544.88,3565.17,18.271
3565.57,3620.01,3545.89,3585.27,9.966
3585.69,3675.0,3552.7,3625.01,14.306
3618.02,3926.0,3611.24,3866.09,44.093
3877.58,4000.0,3838.2,3889.05,34.748
3892.96,3969.54,3841.54,3929.98,25.643
3943.78,3990.0,3850.0,3892.57,22.4
3897.71,3957.0,3882.59,3949.76,19.747
3941.04,4166.09,3882.59,4108.83,24.27
4109.99,4190.3,3625.0,3739.99,42.332
3754.24,3861.81,3732.3,3821.02,25.802
3818.75,3832.73,3746.33,3798.4,18.85
3794.8,3870.5,3652.6,3803.51,22.865
3799.89,3900.0,3655.0,3792.88,21.72
3792.14,3900.0,3754.37,3811.32,13.977
3806.21,3880.6,3754.3,3809.7,9.157
3815.0,3822.4,3763.62,3783.39,8.856
3786.93,3815.48,3670.0,3702.29,20.78
3700.75,3877.1,3672.39,3841.82,22.787
3844.59,3895.7,3805.0,3852.05,18.188
3867.5,3930.0,3826.13,3853.26,19.802
3856.97,3924.37,3760.3,3843.34,22.346
3844.15,3947.33,3771.0,3910.0,14.33
3903.62,3925.84,3862.0,3905.29,3.312
3900.32,3916.8,3812.64,3847.62,17.158
3850.08,3879.6,3791.07,3857.33,16.869
3860.0,3952.0,3796.71,3850.89,13.425
3851.56,3907.0,3775.01,3853.54,17.035
3853.94,3912.06,3779.28,3903.45,16.283
3903.91,4042.5,3846.79,3989.99,19.225
3990.0,4037.47,3900.89,3967.02,7.707
3963.01,4059.0,3925.73,3970.15,15.431
3970.1,4012.69,3947.15,3996.68,14.928
4000.84,4048.8,3952.08,4030.99,18.615
4033.01,4064.4,3871.3,3976.01,21.951
3973.51,4056.33,3915.72,3984.33,11.018
3980.82,4258.92,3968.54,3991.93,3.682
4035.16,4040.7,4006.19,4022.17,3.994
3980.82,4258.92,3850.45,3910.4,22.952
3908.23,4174.0,3877.63,3919.0,15.525
3917.01,4037.11,3911.29,4032.66,19.814
4026.75,4178.88,3912.19,4011.98,11.02
4011.99,4175.5,3998.52,4094.7,22.243
4091.01,4131.87,4007.78,4092.63,10.895
4096.1,4150.0,4074.29,4095.88,2.467
4091.63,4150.0,4051.53,4138.45,20.013
4135.01,5142.9,4126.47,4923.4,92.325
4926.62,5362.7,4787.11,4980.1,86.866
4963.69,5071.34,4778.0,4906.17,9.763
4963.69,5071.34,4778.0,4906.17,0.0
4913.14,5091.9,4778.0,5033.89,73.3
5040.95,5257.91,4887.34,5052.69,27.989
5036.88,5270.33,5010.54,5175.77,25.804
5180.73,5411.9,4806.96,5288.67,35.681
5293.05,5352.5,5132.28,5197.18,25.567
